date,product_line,width,height,length_gusset,ship_via,skus,total_quantity,price,material_front_id,material_back_id,num_colors,printing_method,zipper_type,options,customer,salesperson,project,Factory,terms_conditions,item_#,cfmd_skus
Mar 14 2024,Secure Sack CR Bags,1.79,3.83,0,Air,2,20000,0.111,3598163000008154719,3598163000008154719,5,Digital,None - None,"Round Corners,Top Sealed Bottom Open,Diecut Shape,Single Use CR Tear Slit",Triple Phoenix Wellness,Ryan Holmes,Triple Phoenix Honey and PB Packets,China Digital,DDP Cust Whse,QRE-06556-1-1.79x3.83x0.00-AIR,
Mar 14 2024,Secure Sack CR Bags,1.79,3.83,0,Air,2,26000,0.097,3598163000008154719,3598163000008154719,5,Digital,None - None,"Round Corners,Top Sealed Bottom Open,Diecut Shape,Single Use CR Tear Slit",Triple Phoenix Wellness,Ryan Holmes,Triple Phoenix Honey and PB Packets,China Digital,DDP Cust Whse,QRE-06556-1-1.79x3.83x0.00-AIR,
Jul 09 2024,Slide Safe CR Boxes,1.8,0.85,4.25,Sea,6,12000,1.25,3598163000020543723,3598163000026582084,4,Digital,None - None,,"Baked Buds Company, LLC",Nick O’Loughlin,Vape Box,China Boxes,"DDP Cust Whse

Cost with Paper Insert",QRE-07116-01-1.80x0.85x4.25-SEA,
Jul 09 2024,Slide Safe CR Boxes,1.8,0.85,4.25,Sea,6,24000,1.201,3598163000020543723,3598163000026582084,4,Digital,None - None,,"Baked Buds Company, LLC",Nick O’Loughlin,Vape Box,China Boxes,"DDP Cust Whse

Cost with Paper Insert",QRE-07116-01-1.80x0.85x4.25-SEA,
Jul 09 2024,Slide Safe CR Boxes,1.8,0.85,4.25,Sea,6,36000,1.167,3598163000020543723,3598163000026582084,4,Digital,None - None,,"Baked Buds Company, LLC",Nick O’Loughlin,Vape Box,China Boxes,"DDP Cust Whse

Cost with Paper Insert",QRE-07116-01-1.80x0.85x4.25-SEA,
Jul 16 2024,Non CR Boxes,1.82,4.37,0.71,Air,1,5000,1.393,3598163000026582129,3598163000026582129,5,Digital,N/A - N/A,"Spot UV,Paper Insert",L-Train Cannabis,Ryan Holmes,L Train 3-pack Pre-Roll Box,China Boxes,"DDP Cust Whse
Quote includes the box + the insert. 
Non CR Box, no CR Button. ",QRE-07147-01-1.82x4.37x0.71-AIR,
Aug 05 2024,Slide Safe CR Boxes,1.89,0.75,4,Sea,1,10000,0.962,3598163000034303213,3598163000034303213,5,Digital,None - None,,Good Day Farm,Nick O’Loughlin,Good Day Vape Box,China Boxes,DDP Cust Whse,QRE-06979-02-1.89x0.75x4.00-SEA,
Aug 05 2024,Slide Safe CR Boxes,1.89,0.75,4,Sea,1,10000,0.919,3598163000020543723,3598163000020543723,5,Digital,None - None,,Good Day Farm,Nick O’Loughlin,Good Day Vape Box,China Boxes,DDP Cust Whse,QRE-06979-01-1.89x0.75x4.00-SEA,
Jun 26 2024,Slide Safe CR Boxes,1.89,0.75,4,Sea,1,10000,1.025,3598163000034303213,3598163000034303213,4,Digital,None - None,,Good Day Farm,Nick O’Loughlin,Good Day Vape Box,China Boxes,DDP Cust Whse,QRE-06979-02-1.89x0.75x4.00-SEA,
Jun 26 2024,Slide Safe CR Boxes,1.89,0.75,4,Sea,1,10000,0.998,3598163000020543723,3598163000020543723,4,Digital,None - None,,Good Day Farm,Nick O’Loughlin,Good Day Vape Box,China Boxes,"DDP Cust Whse



",QRE-06979-01-1.89x0.75x4.00-SEA,
Jun 11 2024,Slide Safe CR Boxes,1.89,0.75,4,Sea,1,10000,0.995,3598163000034303213,3598163000034303213,4,Digital,None - None,,Good Day Farm,Nick O’Loughlin,Good Day Vape Box,China Boxes,"DDP Cust Whse

Cost with Plastic insert and mold fee is $200",QRE-06979-02-1.89x0.75x4.00-SEA,
Jun 11 2024,Slide Safe CR Boxes,1.89,0.75,4,Sea,1,10000,0.97,3598163000020543723,3598163000020543723,4,Digital,None - None,,Good Day Farm,Nick O’Loughlin,Good Day Vape Box,China Boxes,"DDP Cust Whse

Cost with Plastic insert and mold fee is $200",QRE-06979-01-1.89x0.75x4.00-SEA,
Aug 05 2024,Slide Safe CR Boxes,1.89,0.75,4,Sea,1,20000,0.94,3598163000034303213,3598163000034303213,5,Digital,None - None,,Good Day Farm,Nick O’Loughlin,Good Day Vape Box,China Boxes,DDP Cust Whse,QRE-06979-02-1.89x0.75x4.00-SEA,
Aug 05 2024,Slide Safe CR Boxes,1.89,0.75,4,Sea,1,20000,0.876,3598163000020543723,3598163000020543723,5,Digital,None - None,,Good Day Farm,Nick O’Loughlin,Good Day Vape Box,China Boxes,DDP Cust Whse,QRE-06979-01-1.89x0.75x4.00-SEA,
Jun 26 2024,Slide Safe CR Boxes,1.89,0.75,4,Sea,1,20000,0.979,3598163000034303213,3598163000034303213,4,Digital,None - None,,Good Day Farm,Nick O’Loughlin,Good Day Vape Box,China Boxes,DDP Cust Whse,QRE-06979-02-1.89x0.75x4.00-SEA,
Jun 26 2024,Slide Safe CR Boxes,1.89,0.75,4,Sea,1,20000,0.954,3598163000020543723,3598163000020543723,4,Digital,None - None,,Good Day Farm,Nick O’Loughlin,Good Day Vape Box,China Boxes,"DDP Cust Whse
",QRE-06979-01-1.89x0.75x4.00-SEA,
Jun 11 2024,Slide Safe CR Boxes,1.89,0.75,4,Sea,1,20000,0.951,3598163000034303213,3598163000034303213,4,Digital,None - None,,Good Day Farm,Nick O’Loughlin,Good Day Vape Box,China Boxes,"DDP Cust Whse

Cost with Plastic insert and mold fee is $200",QRE-06979-02-1.89x0.75x4.00-SEA,
Jun 11 2024,Slide Safe CR Boxes,1.89,0.75,4,Sea,1,20000,0.927,3598163000020543723,3598163000020543723,4,Digital,None - None,,Good Day Farm,Nick O’Loughlin,Good Day Vape Box,China Boxes,"DDP Cust Whse

Cost with Plastic insert and mold fee is $200",QRE-06979-01-1.89x0.75x4.00-SEA,
Aug 05 2024,Slide Safe CR Boxes,1.89,0.75,4,Sea,1,30000,0.855,3598163000020543723,3598163000020543723,5,Digital,None - None,,Good Day Farm,Nick O’Loughlin,Good Day Vape Box,China Boxes,DDP Cust Whse,QRE-06979-01-1.89x0.75x4.00-SEA,
Aug 05 2024,Slide Safe CR Boxes,1.89,0.75,4,Sea,1,30000,0.919,3598163000034303213,3598163000034303213,5,Digital,None - None,,Good Day Farm,Nick O’Loughlin,Good Day Vape Box,China Boxes,DDP Cust Whse,QRE-06979-02-1.89x0.75x4.00-SEA,
Jun 26 2024,Slide Safe CR Boxes,1.89,0.75,4,Sea,1,30000,0.914,3598163000020543723,3598163000020543723,4,Digital,None - None,,Good Day Farm,Nick O’Loughlin,Good Day Vape Box,China Boxes,DDP Cust Whse,QRE-06979-01-1.89x0.75x4.00-SEA,
Jun 26 2024,Slide Safe CR Boxes,1.89,0.75,4,Sea,1,30000,0.935,3598163000034303213,3598163000034303213,4,Digital,None - None,,Good Day Farm,Nick O’Loughlin,Good Day Vape Box,China Boxes,DDP Cust Whse,QRE-06979-02-1.89x0.75x4.00-SEA,
Jun 11 2024,Slide Safe CR Boxes,1.89,0.75,4,Sea,1,30000,0.886,3598163000020543723,3598163000020543723,4,Digital,None - None,,Good Day Farm,Nick O’Loughlin,Good Day Vape Box,China Boxes,"DDP Cust Whse

Cost with Plastic insert and mold fee is $200",QRE-06979-01-1.89x0.75x4.00-SEA,
Jun 11 2024,Slide Safe CR Boxes,1.89,0.75,4,Sea,1,30000,0.906,3598163000034303213,3598163000034303213,4,Digital,None - None,,Good Day Farm,Nick O’Loughlin,Good Day Vape Box,China Boxes,"DDP Cust Whse

Cost with Plastic insert and mold fee is $200",QRE-06979-02-1.89x0.75x4.00-SEA,
Jun 23 2024,Slide Safe CR Boxes,1.89,0.87,3.74,Air,1,2000,1.514,3598163000020543723,3598163000020543723,5,Digital,N/A - N/A,Paper Insert,Organican Inc.,Chris Bromley,Vape CR Packaging Options,China Boxes,"DDP Cust Whse

w/ Paper Insert",QRE-07046-01-1.89x0.87x3.74-AIR,
Jun 23 2024,Slide Safe CR Boxes,1.89,0.87,3.74,Air,1,2000,1.821,3598163000020543723,3598163000020543723,5,Digital,N/A - N/A,Foam Insert,Organican Inc.,Chris Bromley,Vape CR Packaging Options,China Boxes,"DDP Cust Whse

w/ Foam Insert",QRE-07046-02-1.89x0.87x3.74-AIR,
Mar 05 2025,Slide Safe CR Boxes,1.89,0.87,3.74,Air,1,5000,1.22,3598163000037650071,3598163000037650071,5,Digital,None - None,Custom Plastic Insert (Tray Only- No Lid),Wholesome Cannabis Co.,Jordan Weiser,Wholesome Vape Slide Safe,China Boxes 2,DDP Cust Whse,QRE-08426-01-1.89x0.87x3.74-AIR,
Jan 17 2025,Slide Safe CR Boxes,1.89,0.87,3.74,Air,1,5000,1.185,3598163000037650071,3598163000037650071,5,Digital,None - None,Foam Insert,Boojum Group,Jordan Weiser,Boojum Group Vape Boxes,China Boxes 2,DDP Cust Whse,QRE-08125-01-1.89x0.87x3.74-AIR,
Jan 17 2025,Slide Safe CR Boxes,1.89,0.87,3.74,Sea,1,5000,1.072,3598163000037650071,3598163000037650071,5,Digital,None - None,Foam Insert,Boojum Group,Jordan Weiser,Boojum Group Vape Boxes,China Boxes 2,DDP Cust Whse,QRE-08125-01-1.89x0.87x3.74-SEA,
