Factory,Description,Material,fx_Description,fx Material Structure,Total Thickness,Material 1,Material 2,Material 3,Material 4,Finish,Opacity,Finish for Clear Area,Barrier,Hologram,Matte Varnish,Metallized Film,Microwaveable,Recyclable,Soft Touch,Spot UV,Window,Inactive
China Boxes,Art Paper Tube,Art Paper/White Card,Recyclable Paper Matte (Film),Art Paper/White Card,157.00,Art Paper,White Card,,,Matte,Opaque,None,No,No,No,No,No,Paper,No,No,No,false
China Boxes,Art Paper Tube w Paper Button,Art Paper/White Card/Paper Button,Recyclable Paper Matte (Film),Art Paper/White Card/Paper Button,40.94,Art Paper,White Card,Paper Button,,Matte,Opaque,None,No,No,No,No,No,Paper,No,No,No,false
China Boxes,Art Paper Tube w Plastic Button,Art Paper/White Card/Plastic Button,Recyclable Paper Matte (Film),Art Paper/White Card/Plastic Button,40.94,Art Paper,White Card,Plastic Button,,Matte,Opaque,None,No,No,No,No,No,Paper,No,No,No,false
China Boxes,Matte Finish,157g Artpaper + 700g Greyboard + 250gCCNB,Matte (Film),Art Paper/Greyboard/CCNB,1107.00,Art Paper,Greyboard,CCNB,,Matte,Opaque,None,No,No,No,No,No,No,No,No,No,false
China Boxes,Soft Touch Matte Finish,157g Artpaper + 700g Greyboard + 250gCCNB,Matte (Film),Art Paper/Greyboard/CCNB,1107.00,Art Paper,Greyboard,CCNB,,Matte,Opaque,None,No,No,No,No,No,No,Yes,No,No,false
China Boxes 2,0.35mm Clear Blister,APET,Glossy,APET,0.35,APET,,,,Glossy,Clear,Glossy,No,No,No,No,No,No,No,No,No,false
China Boxes 2,0.35mm White Blister,White APET,Glossy,White APET,13.78,White APET,,,,Glossy,Opaque,Glossy,No,No,No,No,No,No,No,No,No,false
China Boxes 2,150g Kraft Paper,Kraft Paper/Greyboard/Kraft Paper + Spot UV,Recyclable Paper Kraft Paper with Spot UV,Kraft Paper/Greyboard/Kraft Paper + Spot UV,11.00,Kraft Paper,Greyboard,Kraft Paper,,Kraft Paper,Opaque,None,No,No,No,No,No,Paper,No,Yes,No,false
China Boxes 2,250.0ga Kraft,Kraft Paper,Kraft Paper,Kraft Paper,2.50,Kraft Paper,,,,Kraft Paper,Clear,None,No,No,No,No,No,No,No,No,No,false
China Boxes 2,300.0gsm Glossy,C1S,Glossy,C1S,300.00,C1S,,,,Glossy,Opaque,None,No,No,No,No,No,No,No,No,No,false
China Boxes 2,300.0gsm Matte,C1S,Matte (Film),C1S,300.00,C1S,,,,Matte,Opaque,None,No,No,No,No,No,No,No,No,No,false
China Boxes 2,300.0gsm Matte w/ Spot UV,C1S + Spot UV,Matte (Film) with Spot UV,C1S + Spot UV,300.00,C1S,,,,Matte,Opaque,None,No,No,No,No,No,No,No,Yes,No,false
China Boxes 2,350.0gsm Glossy,FDA Paper,Glossy,FDA Paper,350.00,FDA Paper,,,,Glossy,Opaque,None,No,No,No,No,No,No,No,No,No,false
China Boxes 2,350.0gsm Matte,FDA Paper + Matte Varnish,Matte (Varnish),FDA Paper + Matte Varnish,350.00,FDA Paper,,,,Matte,Opaque,None,No,No,Yes,No,No,No,No,No,No,false
China Boxes 2,350.0gsm Matte w/ Spot UV,FDA Paper + Spot UV,Matte (Film) with Spot UV,FDA Paper + Spot UV,350.00,FDA Paper,,,,Matte,Opaque,None,No,No,No,No,No,No,No,Yes,No,false
